Equipment_ID,Type,Location,Manufacturer,Purchase_Date,Expected_Life_Years,Avg_Usage_Hours,Total_Usage_Hours,Usage_Std,Last_Maintenance_Date,Failure_Date,Days_Since_Last_Maintenance,Days_Since_Purchase,Failure_Flag
EQ001,Tower Light,Kano,Cummins,2021-10-04,8,8.036438356164384,2933.3,3.31160354648231,2025-06-04,,27,1366,0
EQ002,Generator,Kano,Cummins,2023-03-14,6,7.487671232876712,2733.0,3.485004974434758,2025-06-06,,25,840,0
EQ003,Tower Light,Lagos,Honda,2021-05-16,6,7.6876712328767125,2806.0,3.194326409479243,2025-05-20,2025-07-18,42,1507,1
EQ004,Tower Light,Lagos,Cummins,2020-08-31,5,7.505753424657534,2739.6,3.3489697931300166,2025-06-24,2025-07-18,7,1765,1
EQ005,Generator,Kano,Honda,2022-01-13,6,7.8252054794520545,2856.2,3.2073953477009036,2025-01-22,2025-07-18,160,1265,1
EQ006,Generator,Abuja,Mikano,2022-12-15,9,7.467123287671233,2725.5,3.431105883080882,2024-12-15,,198,929,0
EQ007,Tower Light,Abuja,Honda,2021-12-26,6,7.596712328767124,2772.8,3.2510336711197234,2025-02-18,2025-07-18,133,1283,1
EQ008,Compressor,Lagos,Mikano,2023-06-04,8,7.6747945205479455,2801.3,3.31535228001931,2025-06-19,,12,758,0
EQ009,Tower Light,Kano,Mikano,2021-12-17,8,7.490958904109589,2734.2,3.2305462422060702,2025-01-05,,177,1292,0
EQ010,Tower Light,Lagos,CAT,2022-03-24,8,7.6945205479452055,2808.5,3.5343561209679866,2025-02-11,,140,1195,0
EQ011,Tower Light,Lagos,Honda,2021-10-19,8,7.63013698630137,2785.0,3.2026725160277403,2025-01-16,2025-07-18,166,1351,1
EQ012,Tower Light,Port Harcourt,CAT,2021-11-15,9,7.586301369863014,2769.0,3.4390499530039333,2025-07-04,2025-07-18,-3,1324,1
EQ013,Generator,Port Harcourt,Honda,2023-06-04,7,7.483287671232877,2731.4,3.3284603801431594,2025-03-10,2025-07-18,113,758,1
EQ014,Tower Light,Port Harcourt,Honda,2023-01-10,5,7.516438356164383,2743.5,3.3964515136004874,2025-05-07,2025-07-18,55,903,1
EQ015,Compressor,Abuja,CAT,2021-12-20,8,7.714794520547946,2815.9,3.2570886808153023,2025-05-03,,59,1289,0
EQ016,Generator,Kano,CAT,2022-06-21,6,7.257808219178082,2649.1,3.4032750252051343,2025-02-08,2025-07-18,143,1106,1
EQ017,Compressor,Kano,Honda,2023-03-08,8,7.56027397260274,2759.5,3.548484420562468,2025-01-08,,174,846,0
EQ018,Compressor,Kano,Cummins,2022-11-20,6,7.642191780821918,2789.4,3.4360684817783724,2025-04-15,,77,954,0
EQ019,Compressor,Kano,Mikano,2022-07-04,6,7.28027397260274,2657.3,3.4531550999792966,2025-06-06,,25,1093,0
EQ020,Compressor,Port Harcourt,CAT,2021-04-14,8,7.509041095890411,2740.8,3.3679974829280654,2025-06-28,,3,1539,0
