Equipment_ID,Date,Activity_Type,Cost,Downtime_Hours
EQ001,2024-11-12,Preventive,359,8
EQ001,2025-06-04,Corrective,295,2
EQ002,2025-05-27,Preventive,667,7
EQ002,2025-04-07,Corrective,620,9
EQ002,2024-07-30,Corrective,945,1
EQ002,2025-06-06,Preventive,120,7
EQ003,2024-12-07,Corrective,752,11
EQ003,2025-05-20,Corrective,695,2
EQ004,2024-11-20,Corrective,990,8
EQ004,2025-03-25,Corrective,652,6
EQ004,2024-12-24,Corrective,661,2
EQ004,2025-06-24,Preventive,459,8
EQ005,2024-11-13,Corrective,845,8
EQ005,2025-01-22,Corrective,194,1
EQ005,2024-09-13,Preventive,672,1
EQ006,2024-12-15,Preventive,851,9
EQ006,2024-09-18,Preventive,926,5
EQ007,2025-01-29,Corrective,604,6
EQ007,2025-02-18,Preventive,861,7
EQ008,2025-01-06,Corrective,890,11
EQ008,2024-12-03,Corrective,240,4
EQ008,2025-06-19,Preventive,325,6
EQ009,2025-01-05,Corrective,995,2
EQ009,2024-10-09,Corrective,279,8
EQ009,2024-10-20,Corrective,800,8
EQ009,2024-08-06,Corrective,836,2
EQ010,2025-02-11,Corrective,799,9
EQ010,2024-08-14,Preventive,529,6
EQ010,2024-09-25,Preventive,139,7
EQ010,2024-09-27,Preventive,697,5
EQ011,2024-10-15,Preventive,639,10
EQ011,2025-01-16,Corrective,563,7
EQ011,2024-08-13,Corrective,965,7
EQ011,2024-11-13,Corrective,392,4
EQ012,2025-05-08,Corrective,697,5
EQ012,2025-07-04,Corrective,789,10
EQ012,2025-04-06,Preventive,601,11
EQ013,2024-07-23,Preventive,349,5
EQ013,2025-03-10,Preventive,700,1
EQ014,2024-10-11,Preventive,858,6
EQ014,2025-05-07,Corrective,974,7
EQ015,2025-05-03,Corrective,832,1
EQ015,2024-10-16,Corrective,960,4
EQ016,2025-02-08,Preventive,591,4
EQ016,2024-08-03,Corrective,176,7
EQ017,2024-08-03,Preventive,300,9
EQ017,2025-01-08,Corrective,819,10
EQ018,2024-10-18,Preventive,867,3
EQ018,2024-09-16,Corrective,707,2
EQ018,2024-08-02,Preventive,372,3
EQ018,2025-04-15,Preventive,790,4
EQ019,2025-06-05,Corrective,883,5
EQ019,2025-06-06,Preventive,720,1
EQ019,2024-12-22,Corrective,496,4
EQ019,2024-08-28,Corrective,579,5
EQ020,2025-02-05,Preventive,559,1
EQ020,2025-01-01,Preventive,818,2
EQ020,2025-06-28,Corrective,116,1
