Equipment_ID,Type,Manufacturer,Location,Purchase_Date,Avg_Usage_Hours,Total_Usage_Hours,Usage_Std,Last_Maintenance_Date,Failure_Flag,Days_Since_Last_Maintenance,Days_Since_Purchase
EQ001,Tower Light,Cummins,Kano,2021-10-04,8.036438356164384,2933.3,3.31160354648231,2025-06-04,0.0,49,1388
EQ002,Generator,Cummins,Kano,2023-03-14,7.487671232876712,2733.0,3.485004974434758,2025-06-06,0.0,47,862
EQ003,Tower Light,Honda,Lagos,2021-05-16,7.6876712328767125,2806.0,3.194326409479243,2025-05-20,1.0,64,1529
EQ004,Tower Light,Cummins,Lagos,2020-08-31,7.505753424657534,2739.6,3.3489697931300166,2025-06-24,1.0,29,1787
EQ005,Generator,Honda,Kano,2022-01-13,7.8252054794520545,2856.2,3.2073953477009036,2025-01-22,1.0,182,1287
EQ006,Generator,Mikano,Abuja,2022-12-15,7.467123287671233,2725.5,3.431105883080882,2024-12-15,0.0,220,951
EQ007,Tower Light,Honda,Abuja,2021-12-26,7.596712328767124,2772.8,3.2510336711197234,2025-02-18,1.0,155,1305
EQ008,Compressor,Mikano,Lagos,2023-06-04,7.6747945205479455,2801.3,3.31535228001931,2025-06-19,0.0,34,780
EQ009,Tower Light,Mikano,Kano,2021-12-17,7.490958904109589,2734.2,3.2305462422060702,2025-01-05,0.0,199,1314
EQ010,Tower Light,CAT,Lagos,2022-03-24,7.6945205479452055,2808.5,3.5343561209679866,2025-02-11,0.0,162,1217
EQ011,Tower Light,Honda,Lagos,2021-10-19,7.63013698630137,2785.0,3.2026725160277403,2025-01-16,1.0,188,1373
EQ012,Tower Light,CAT,Port Harcourt,2021-11-15,7.586301369863014,2769.0,3.4390499530039333,2025-07-04,1.0,19,1346
EQ013,Generator,Honda,Port Harcourt,2023-06-04,7.483287671232877,2731.4,3.3284603801431594,2025-03-10,1.0,135,780
EQ014,Tower Light,Honda,Port Harcourt,2023-01-10,7.516438356164383,2743.5,3.3964515136004874,2025-05-07,1.0,77,925
EQ015,Compressor,CAT,Abuja,2021-12-20,7.714794520547946,2815.9,3.2570886808153023,2025-05-03,0.0,81,1311
EQ016,Generator,CAT,Kano,2022-06-21,7.257808219178082,2649.1,3.4032750252051343,2025-02-08,1.0,165,1128
EQ017,Compressor,Honda,Kano,2023-03-08,7.56027397260274,2759.5,3.548484420562468,2025-01-08,0.0,196,868
EQ018,Compressor,Cummins,Kano,2022-11-20,7.642191780821918,2789.4,3.4360684817783724,2025-04-15,0.0,99,976
EQ019,Compressor,Mikano,Kano,2022-07-04,7.28027397260274,2657.3,3.4531550999792966,2025-06-06,0.0,47,1115
EQ020,Compressor,CAT,Port Harcourt,2021-04-14,7.509041095890411,2740.8,3.3679974829280654,2025-06-28,0.0,25,1561
