Date,Equipment_ID,Operating_Hours
2024-07-01,EQ001,8.7
2024-07-02,EQ001,0.0
2024-07-03,EQ001,10.6
2024-07-04,EQ001,5.0
2024-07-05,EQ001,3.3
2024-07-06,EQ001,10.3
2024-07-07,EQ001,6.4
2024-07-08,EQ001,4.0
2024-07-09,EQ001,5.4
2024-07-10,EQ001,0.0
2024-07-11,EQ001,4.6
2024-07-12,EQ001,8.4
2024-07-13,EQ001,0.0
2024-07-14,EQ001,9.7
2024-07-15,EQ001,10.7
2024-07-16,EQ001,10.7
2024-07-17,EQ001,10.3
2024-07-18,EQ001,7.4
2024-07-19,EQ001,6.1
2024-07-20,EQ001,0.0
2024-07-21,EQ001,3.5
2024-07-22,EQ001,11.3
2024-07-23,EQ001,7.5
2024-07-24,EQ001,6.8
2024-07-25,EQ001,11.5
2024-07-26,EQ001,5.3
2024-07-27,EQ001,10.5
2024-07-28,EQ001,8.9
2024-07-29,EQ001,4.9
2024-07-30,EQ001,7.8
2024-07-31,EQ001,10.9
2024-08-01,EQ001,10.4
2024-08-02,EQ001,12.5
2024-08-03,EQ001,9.0
2024-08-04,EQ001,18.1
2024-08-05,EQ001,5.2
2024-08-06,EQ001,6.8
2024-08-07,EQ001,7.8
2024-08-08,EQ001,3.7
2024-08-09,EQ001,11.1
2024-08-10,EQ001,10.7
2024-08-11,EQ001,0.0
2024-08-12,EQ001,8.1
2024-08-13,EQ001,6.4
2024-08-14,EQ001,3.5
2024-08-15,EQ001,5.6
2024-08-16,EQ001,10.2
2024-08-17,EQ001,7.4
2024-08-18,EQ001,6.7
2024-08-19,EQ001,9.5
2024-08-20,EQ001,11.5
2024-08-21,EQ001,8.8
2024-08-22,EQ001,8.9
2024-08-23,EQ001,12.1
2024-08-24,EQ001,8.5
2024-08-25,EQ001,7.1
2024-08-26,EQ001,10.0
2024-08-27,EQ001,7.2
2024-08-28,EQ001,6.9
2024-08-29,EQ001,11.8
2024-08-30,EQ001,7.1
2024-08-31,EQ001,0.0
2024-09-01,EQ001,9.0
2024-09-02,EQ001,6.8
2024-09-03,EQ001,7.1
2024-09-04,EQ001,9.4
2024-09-05,EQ001,7.5
2024-09-06,EQ001,0.0
2024-09-07,EQ001,8.6
2024-09-08,EQ001,1.9
2024-09-09,EQ001,5.2
2024-09-10,EQ001,12.2
2024-09-11,EQ001,7.9
2024-09-12,EQ001,3.0
2024-09-13,EQ001,4.8
2024-09-14,EQ001,5.0
2024-09-15,EQ001,8.3
2024-09-16,EQ001,6.7
2024-09-17,EQ001,6.0
2024-09-18,EQ001,8.0
2024-09-19,EQ001,9.4
2024-09-20,EQ001,7.2
2024-09-21,EQ001,6.3
2024-09-22,EQ001,6.7
2024-09-23,EQ001,9.0
2024-09-24,EQ001,8.0
2024-09-25,EQ001,10.3
2024-09-26,EQ001,4.6
2024-09-27,EQ001,5.7
2024-09-28,EQ001,0.0
2024-09-29,EQ001,10.3
2024-09-30,EQ001,5.6
2024-10-01,EQ001,12.2
2024-10-02,EQ001,12.2
2024-10-03,EQ001,12.2
2024-10-04,EQ001,5.4
2024-10-05,EQ001,8.2
2024-10-06,EQ001,6.5
2024-10-07,EQ001,10.8
2024-10-08,EQ001,13.1
2024-10-09,EQ001,0.0
2024-10-10,EQ001,10.6
2024-10-11,EQ001,8.0
2024-10-12,EQ001,6.9
2024-10-13,EQ001,9.9
2024-10-14,EQ001,4.3
2024-10-15,EQ001,9.6
